epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,timestamp,epoch_time_sec,max_mem_mb
39,0.09612409485983357,0.9696952595936794,22170,773,301,12194,12194,301,773,22170,0.11169387557947262,0.9615384615384616,2494,99,53,1291,1291,53,99,2494,2026-08-27 15:36:22,120.73,550.62
40,0.1038375211504349,0.9664503386004515,22119,837,352,12130,12130,352,837,22119,0.09243350268458488,0.9709008097165992,2528,96,19,1294,1294,19,96,2528,2026-08-27 15:38:23,120.9,550.62
41,0.09323130255453625,0.9703442437923251,22178,758,293,12209,12209,293,758,22178,0.12209247744185964,0.9574898785425101,2418,39,129,1351,1351,129,39,2418,2026-08-27 15:40:24,121.14,550.62
42,0.0957239106454115,0.9698081264108352,22164,763,307,12204,12204,307,763,22164,0.09470712838068544,0.9671052631578947,2531,114,16,1276,1276,16,114,2531,2026-08-27 15:42:25,121.09,550.62
43,0.09394945192737315,0.9698645598194131,22189,786,282,12181,12181,282,786,22189,0.08304106417349597,0.9711538461538461,2523,90,24,1300,1300,24,90,2523,2026-08-27 15:44:26,121.05,550.62
44,0.09189627159094653,0.9702878103837472,22172,754,299,12213,12213,299,754,22172,0.11793062288261316,0.958248987854251,2528,146,19,1244,1244,19,146,2528,2026-08-27 15:46:27,120.89,550.62
45,0.09661567830365009,0.9691309255079007,22190,813,281,12154,12154,281,813,22190,0.0889544063991243,0.9734311740890689,2514,72,33,1318,1318,33,72,2514,2026-08-27 15:48:28,120.72,550.62
46,0.08626010684174555,0.9729683972911964,22196,683,275,12284,12284,275,683,22196,0.07765391157178382,0.9759615384615384,2517,65,30,1325,1325,30,65,2517,2026-08-27 15:50:29,121.1,550.62
47,0.09483996945208371,0.9695501451144792,22158,766,313,12201,12201,313,766,22158,0.08798987129024467,0.9726720647773279,2508,69,39,1321,1321,39,69,2508,2026-08-27 15:52:30,121.1,550.62
48,0.08913445263185474,0.9714648500483714,22178,718,293,12249,12249,293,718,22178,0.08283758377430109,0.972419028340081,2509,71,38,1319,1319,38,71,2509,2026-08-27 15:54:31,120.98,550.62
49,0.08628313142289123,0.971755079006772,22163,693,308,12274,12274,308,693,22163,0.09776689184015157,0.9676113360323887,2499,80,48,1310,1310,48,80,2499,2026-08-27 15:56:32,120.74,550.62
50,0.10456056839651923,0.9647291196388262,22108,887,363,12080,12080,363,887,22108,0.10990992258668138,0.9597672064777328,2521,133,26,1257,1257,26,133,2521,2026-08-27 15:58:33,120.96,550.62
51,0.10112067285881002,0.9668453724604966,22090,794,381,12173,12173,381,794,22090,0.09778236857648875,0.9683704453441295,2512,90,35,1300,1300,35,90,2512,2026-08-27 16:00:34,121.05,550.62
52,0.10397656596913245,0.9660270880361174,22135,868,336,12099,12099,336,868,22135,0.11678522096396338,0.9617914979757085,2489,93,58,1297,1297,58,93,2489,2026-08-27 16:02:35,120.86,550.62
53,0.10579731736277519,0.9653136085133827,22151,909,320,12058,12058,320,909,22151,0.1024980070748129,0.9676113360323887,2503,84,44,1306,1306,44,84,2503,2026-08-27 16:04:36,120.97,550.62
54,0.10278403697163287,0.9659101902612062,22154,891,317,12076,12076,317,891,22154,0.11045437870662177,0.9648279352226721,2508,100,39,1290,1290,39,100,2508,2026-08-27 16:06:37,120.97,550.62
55,0.107565482057795,0.9649750080619154,22150,920,321,12047,12047,321,920,22150,0.10972874751691575,0.9620445344129555,2487,90,60,1300,1300,60,90,2487,2026-08-27 16:08:38,120.83,550.62
56,0.11952818107074357,0.959734762979684,22052,1008,419,11959,11959,419,1008,22052,0.14196941712003971,0.9509109311740891,2481,128,66,1262,1262,66,128,2481,2026-08-27 16:10:38,120.86,550.62
57,0.11569677034947962,0.9614559819413092,22115,1010,356,11957,11957,356,1010,22115,0.12002165597460047,0.9600202429149798,2487,98,60,1292,1292,60,98,2487,2026-08-27 16:12:39,121.0,550.62
58,0.1092680160604779,0.9639672686230248,22141,947,330,12020,12020,330,947,22141,0.13623383145794454,0.9529352226720648,2430,69,117,1321,1321,117,69,2430,2026-08-27 16:14:40,120.91,550.62
