epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,timestamp,epoch_time_sec,max_mem_mb
38,0.00023573889239043172,0.9999435665914221,22470,1,1,12966,12966,1,1,22470,0.0071217628149542155,0.9984817813765182,2542,1,5,1389,1389,5,1,2542,2026-08-27 19:24:29,117.11,646.25
39,0.0003429706330508072,0.9999435665914221,22470,1,1,12966,12966,1,1,22470,0.005600084726566905,0.9992408906882592,2546,2,1,1388,1388,1,2,2546,2026-08-27 19:26:26,117.21,647.12
40,0.00031284621191519815,0.9998589164785553,22468,2,3,12965,12965,3,2,22468,0.006235507126148591,0.9987348178137652,2545,3,2,1387,1387,2,3,2545,2026-08-27 19:28:23,117.16,646.25
41,4.1352891672630304e-05,1.0,22471,0,0,12967,12967,0,0,22471,0.005414584242499059,0.9992408906882592,2546,2,1,1388,1388,1,2,2546,2026-08-27 19:30:20,117.12,647.12
42,0.00019153464940133402,0.9999435665914221,22470,1,1,12966,12966,1,1,22470,0.010737259047787452,0.9984817813765182,2546,5,1,1385,1385,1,5,2546,2026-08-27 19:32:17,117.15,646.25
43,1.8512062475363233e-05,1.0,22471,0,0,12967,12967,0,0,22471,0.008250799511731199,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 19:34:14,117.23,647.12
44,4.7869921676548456e-06,1.0,22471,0,0,12967,12967,0,0,22471,0.007446346179581704,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 19:36:12,117.15,646.25
45,1.3992822606197648e-06,1.0,22471,0,0,12967,12967,0,0,22471,0.0073493069786679695,0.9987348178137652,2545,3,2,1387,1387,2,3,2545,2026-08-27 19:38:09,117.27,647.12
46,3.030918906370036e-07,1.0,22471,0,0,12967,12967,0,0,22471,0.00755603092675748,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 19:40:06,117.14,646.25
47,1.746681859342865e-07,1.0,22471,0,0,12967,12967,0,0,22471,0.0073614493665454615,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 19:42:03,117.25,647.12
48,6.510146646355659e-08,1.0,22471,0,0,12967,12967,0,0,22471,0.008351195654441968,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 19:44:01,117.22,646.25
49,5.776508178576947e-08,1.0,22471,0,0,12967,12967,0,0,22471,0.009833348615056803,0.9989878542510121,2545,2,2,1388,1388,2,2,2545,2026-08-27 19:45:58,117.28,647.12
50,0.0002732695295258764,0.999971783295711,22470,0,1,12967,12967,1,0,22470,0.010500602397898238,0.9989878542510121,2546,3,1,1387,1387,1,3,2546,2026-08-27 19:47:55,117.38,646.25
51,4.9316146100523755e-05,0.999971783295711,22471,1,0,12966,12966,0,1,22471,0.007115354572999885,0.9987348178137652,2543,1,4,1389,1389,4,1,2543,2026-08-27 19:49:52,117.14,647.12
52,0.00013761680361014744,0.9999435665914221,22470,1,1,12966,12966,1,1,22470,0.006686564584254212,0.9987348178137652,2543,1,4,1389,1389,4,1,2543,2026-08-27 19:51:50,117.14,646.25
53,6.871876759260846e-06,1.0,22471,0,0,12967,12967,0,0,22471,0.0052166091029053445,0.9992408906882592,2546,2,1,1388,1388,1,2,2546,2026-08-27 19:53:47,117.1,647.12
