epoch,loss,accuracy,tp_0,fp_0,fn_0,tn_0,tp_1,fp_1,fn_1,tn_1,val_loss,val_accuracy,val_tp_0,val_fp_0,val_fn_0,val_tn_0,val_tp_1,val_fp_1,val_fn_1,val_tn_1,timestamp,epoch_time_sec,max_mem_mb
17,0.11636372318503443,0.9616864411238556,14540,661,235,7953,7953,235,661,14540,0.11503901121089695,0.9630566801619433,2517,116,30,1274,1274,30,116,2517,2026-08-27 05:24:19,234.12,550.62
18,0.15147947915670462,0.9458164526991476,14455,947,320,7667,7667,320,947,14455,0.1756740782112034,0.9402834008097166,2536,225,11,1165,1165,11,225,2536,2026-08-27 05:25:10,233.98,550.62
19,0.15441859848274966,0.9471614227086184,14561,1022,214,7592,7592,214,1022,14561,0.18073447195337972,0.9364878542510121,2537,241,10,1149,1149,10,241,2537,2026-08-27 05:27:24,233.08,550.62
18,0.12303678105584002,0.9579244712196149,14540,749,235,7865,7865,235,749,14540,0.11799435015684862,0.9564777327935222,2524,149,23,1241,1241,23,149,2524,2026-08-27 05:28:12,232.48,550.62
19,0.14648550135470803,0.9476316689466484,14452,902,323,7712,7712,323,902,14452,0.16250428731971786,0.9402834008097166,2537,226,10,1164,1164,10,226,2537,2026-08-27 05:29:04,234.09,550.62
20,0.15496048577500587,0.945921682626539,14531,1021,244,7593,7593,244,1021,14531,0.1369582084252646,0.951417004048583,2514,159,33,1231,1231,33,159,2514,2026-08-27 05:31:19,234.25,550.62
19,0.17450997784030503,0.9402359781121751,14534,1157,241,7457,7457,241,1157,14534,0.17854346864694645,0.9352226720647774,2543,252,4,1138,1138,4,252,2543,2026-08-27 05:32:07,235.01,550.62
20,0.14192033467321274,0.9514791381668947,14499,859,276,7755,7755,276,859,14499,0.12707343068622384,0.9559716599190283,2508,135,39,1255,1255,39,135,2508,2026-08-27 05:32:59,234.98,550.62
21,0.1563572703367647,0.9454843207408187,14541,1041,234,7573,7573,234,1041,14541,0.14081380523230808,0.9526821862348178,2492,132,55,1258,1258,55,132,2492,2026-08-27 05:35:12,233.62,550.62
20,0.15856764956314381,0.9462209302325582,14580,1063,195,7551,7551,195,1063,14580,0.1483004080124109,0.9481275303643725,2504,162,43,1228,1228,43,162,2504,2026-08-27 05:36:00,233.15,550.62
21,0.14581127727000368,0.9469805587709145,14456,921,319,7693,7693,319,921,14456,0.1887492112596689,0.9385121457489879,2542,238,5,1152,1152,5,238,2542,2026-08-27 05:36:52,233.14,550.62
22,0.14353408596909029,0.948358413132695,14531,964,244,7650,7650,244,964,14531,0.11788805047434713,0.9628036437246964,2507,107,40,1283,1283,40,107,2507,2026-08-27 05:39:07,234.39,550.62
21,0.14599014662566726,0.9488615437230348,14563,984,212,7630,7630,212,984,14563,0.13578804539561815,0.9461032388663968,2535,201,12,1189,1189,12,201,2535,2026-08-27 05:39:54,233.67,550.62
22,0.13772238454324093,0.952718878248974,14486,817,289,7797,7797,289,817,14486,0.16211082518613532,0.9415485829959515,2426,110,121,1280,1280,121,110,2426,2026-08-27 05:40:45,232.86,550.62
